N,MARCA,MODELO,ano,KILOMETRAJE,cilindrada,combustible,sis_entrega,NO,PCV_NAFTA,EGR,NO,CAT
64,NISSAN,NOTE,2018 (30 Dias),"1,800",1.6,NAFTA,MULTIPUNTO,,,,SI,
65,RENAULT,SYMBOL,2010,"150,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
66,CHEVROLET,COMBO,1994,"370,000",1.3,GAS (100%),CARBURADOR,,,,NO,
67,CHEVROLET,MERIVA,2011,"140,000",1.8,NAFTA,MULTIPUNTO,,,,NO,
68,RENAULT,TWINGO,1999,"150,000",1,NAFTA,MULTIPUNTO,,,,NO,
69,RENAULT,CROSSFOX,2008,,1.6,NAFTA,MULTIPUNTO,,,,NO,
70,CHEVROLET,CORSA CLASSIC,2016,"68,000",1.8,GAS (100%),MULTIPUNTO,,,,NO,
71,CITROEN,AIR CROSS,2012,"80,000",1.6,GAS (20%),MULTIPUNTO,,,,NO,
72,FIAT,147,1995,"250,000",1.4,GAS (80%),CARBURADOR,,,,NO,
73,RENAULT,DUSTER OROCH,2016,"60,000",2,NAFTA,MULTIPUNTO,,,,SI,
74,RENAULT,LAGUNA,2002,"200,000",3,GAS (50%),MULTIPUNTO,,,,NO,
75,FIAT,125,1974,"180,000",4,NAFTA,CARBURADOR,,,,NO,
76,PEUGOT,206,2004,"103,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
77,RENAULT,CLIO MIO,2013,"13,000",1.2,NAFTA,MULTIPUNTO,,,,SI,
78,VOLKSWAGEN,GOL POWER,2008,,1.6,GAS (50%),MULTIPUNTO,,,,NO,
79,TOYOTA,HILUX,1994,"580,000",2.8,DIESEL,INYECCION DIRECTA,,NO,NO,NO,
80,HONDA,CIVIC,2011,"170,000",1.8,NAFTA,MULTIPUNTO,,,,NO,
81,RENAULT,KANGOO,2017,"20,100",1.6,NAFTA,MULTIPUNTO,,,,SI,
82,TOYOTA,RAV4 ,2014,"65,000",2.5,NAFTA,MULTIPUNTO,,,,si,
83,VOLKSWAGEN,GOL,2016,"16,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
84,RENAULT,LOGAN,2011,"247,000",1.6,GAS (100%),MULTIPUNTO,,,,NO,
85,PEUGOT,308,2017,"12,000",2,NAFTA,MULTIPUNTO,,,,si,
86,FIAT,1,2010,"70,000",1.3,NAFTA,MULTIPUNTO,,,,si,
87,FORD,RANGER,2001,"380,000",2.8,DIESEL,INYECCION DIRECTA,,NO,NO,NO,
88,FORD,ECOSPORT,2014,"102,000",2,GAS (80%),MULTIPUNTO,,,,NO,
89,FORD,K,2017,"15,000",1.5,NAFTA,MULTIPUNTO,,,,SI,
90,FIAT,PALIO,2014,"35,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
91,CHEVROLET,CORSA CLASSIC,2015,"36,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
92,VOLKSWAGEN,FOX,2006,"73,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
93,PEUGEOT,207,2010,"10,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
94,VOLKSWAGEN,TRAMPER,2006,"500,000",1.8,DIESEL,COMMON RAIL,,NO,NO,NO,
95,CHEVROLET,CRUZE,2018,"6,000",1.4,NAFTA,MULTIPUNTO,,,,SI,
96,TOYOTA,ETIOS,2017,"27,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
97,CHEVROLET,SPINNER,2018,"9,300",1.8,GAS (80%),MULTIPUNTO,,,,SI,
98,FORD,TRANSIT T 350 (CAMION),2015,"200,000",2.5,DIESEL,COMMON RAIL,,SI,SI,NO,
99,FORD,FOX,2006,"200,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
100,PEUGEOT,307,2012,"62,100",1.6,DIESEL,COMMON RAIL,,SI,SI,SI,
101,RENAULT,DUSTER,2016,"33,000",2,NAFTA,MULTIPUNTO,,,,SI,
102,RENAULT,LOGAN,2010,"110,000",1.6,GAS (70%),MULTIPUNTO,,,,NO,
103,FIAT,PALIO,2013,"110,000",1.4,NAFTA,MULTIPUNTO,,,,NO,
104,RENAULT,SANDERO,2010,"62,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
105,FORD,FIESTA,2009,"59,000",1.6,NAFTA,MULTIPUNTO,,,,,
106,TOYOTA,ETIOS,2015,"9,500",1.6,NAFTA,MULTIPUNTO,,,,SI,
107,FIAT,PALIO,2013,"120,000",1.6,NAFTA,MULTIPUNTO,,,,NO,
108,CHEVROLET,MERIVA,2006,"167,000",1.8,NAFTA,MULTIPUNTO,,,,,
109,CITROEN,C4,2010,"110,000",1.6,NAFTA,MULTIPUNTO,,,,,
110,VOLKSWAGEN,GOL,2015,"70,000",1.6,GAS (70%),MULTIPUNTO,,,,NO,
111,FORD,FIESTA,2010,"98,000",1.6,GAS (90%),MULTIPUNTO,,,,,
112,RENAULT,CLIO,2010,,1.2,NAFTA,MULTIPUNTO,,,,,
113,RENAULT,HEAVY DUTY,2006,"455,000",3.9,DIESEL,INYECCION DIRECTA,,NO,NO,NO,
114,FORD,FIESTA,1998,1 MILLON (?,1.3,NAFTA,MONOPUNTO,,,,NO,
115,CHEVROLET,CORSA CLASSIC,2014,"75,000",1.4,GAS (85%),MULTIPUNTO,TAXI,,,NO,
116,FORD,FIESTA,2017,"42,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
117,VOLKSWAGEN,UP,2017,"12,000",1,NAFTA,MULTIPUNTO,,,,SI,
118,RENAULT,CLIO,2016,"5,200",1.2,NAFTA,MULTIPUNTO,,,,SI,
119,RENAULT,CAPTUR,2017,"17,000",2,NAFTA,MULTIPUNTO,,,,SI,
120,RENAULT,LOGAN,2018,"14,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
121,KIA,K2000,2016,"80,000",2.5,DIESEL,COMMON RAIL,CAMION CHICO,SI,SI,SI,
122,FORD,SIERRA XR4,1993,"200,000",2.3,NAFTA,CARBURADOR,,,,NO,
123,FIAT,DUNA,1996,"430,000",1.7,DIESEL,PRE CAMARA,,NO,NO,NO,
124,FIAT,SIENA,2017,"5,000",1.6,NAFTA,MULTIPUNTO,,,,SI,
125,TOYOTA,COROLLA,2015,"81,000",2,NAFTA,MULTIPUNTO,,,,NO,
