2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998
1171.13863679141 1298.93283625383 1486.20764283981 1724.54235697378 1998.27498635844 2282.62787813294 2544.19634726621 2745.27436607288 2852.01421873306 2843.90701589401 2720.24052404122 2500.04289751037 2215.51014216974 1902.40514370703 1591.77083714616 1305.47512473015 1055.60527304398 846.269736722203 676.220552204224 676.220552204224
176.293405686445 195.530474588831 223.721256119842 259.598168662918 300.8035870188 343.607690762705 382.982018271897 413.25061981102 429.318343611411 428.097953168994 409.482234813264 376.335527595448 333.504348696104 286.372143522114 239.611855622555 196.515295924445 158.901980345678 127.390361251228 101.792580654551 101.792580654551
17.0466552446585 18.9067797355312 21.6326816600272 25.1017924698344 29.0861420726435 33.2250762360502 37.0323688793908 39.95918518977 41.5128504963375 41.3948450890748 39.5948019637737 36.3896878062838 32.2481356161922 27.6906965594499 23.1692199684168 19.0020068356058 15.3649948850841 12.3179852433309 9.8428130202924 9.8428130202924
54.2007598573454 60.1151260123217 68.7822782180647 79.8125031637941 92.4809576441669 105.640922073345 117.746414400528 127.052384733631 131.992347381514 131.617142823838 125.893808611523 115.702975261976 102.534686675735 88.044063363788 73.6677846514005 60.4179057136166 48.8538300342957 39.1656985207879 31.2957549253415 31.2957549253415
97.1437034393215 107.743987149416 123.278073124487 143.047480487357 165.753077019858 189.339603945769 211.036206718755 227.715242670159 236.569108699534 235.896631775302 225.638733493642 207.37376275682 183.772316493115 157.800857469815 132.034337600483 108.286657429085 87.5604325330039 70.1964513433232 56.0911976765405 56.0911976765405
304.282119543873 337.485267878533 386.142509041093 448.065999308867 519.186481582152 593.06629212672 661.026314700796 713.269869677178 741.002733735204 738.89634189914 706.765643555334 649.554483053528 575.627940836543 494.277834556185 413.569656861405 339.185067835349 274.264548869734 219.87554769874 175.693821755858 175.693821755858
45.4312624868331 50.3887044477424 57.6535411014869 66.8991134166569 77.5178553367909 88.5485825788622 98.6954476947033 106.495743890008 110.636437495076 110.321939750194 105.524621417685 96.9826300123727 85.9449254333511 73.7988353597877 61.7485893210721 50.6424954300352 40.9494476021526 32.8288225969759 26.2322089298921 26.2322089298921
118.58139018386 131.520946060186 150.483096410055 174.615219493714 202.331490404259 231.123095556832 257.607707816798 277.967475871961 288.775214357253 287.954335126601 275.43272234535 253.137035183364 224.32721829134 192.624373875802 161.171694616832 132.183372896886 106.883281646239 85.6874145370045 68.4694114190994 68.4694114190994
20.2125473510718 22.4181327759564 25.6502871741348 29.763678657858 34.4879986991891 39.3956126304934 43.9099928258119 47.3803752798693 49.2225861491572 49.0826648656122 46.9483190727319 43.147953502826 38.2372353268723 32.8333920853723 27.4721902319087 22.5310453820799 18.2185702829329 14.6056722815841 11.670812918138 11.670812918138
47.4468251626122 52.6242045506763 60.21134643662 69.8670995271992 80.9569430347953 92.4770496358986 103.074081475801 111.220438621444 115.544834528085 115.216384058109 110.206232199838 101.285274459211 89.7578809708796 77.0729283504956 64.4880718955138 52.8892549962409 42.7661740953816 34.2852767189677 27.3960036018463 27.3960036018463
88.2365552056923 97.8648943122615 111.97465321769 129.931395058887 150.55510561332 171.978973671929 191.686205541572 206.835933464217 214.877984683447 214.267167459595 204.949820313267 188.359572652423 166.922153216562 143.3320285173 119.928052012235 98.3578069189997 79.531978558534 63.7601083231061 50.9481714729038 50.9481714729038
16.0196795535729 17.7677408503995 20.3294208221099 23.5895350621959 27.3338475358354 31.2234316237102 34.8013539338422 37.5518442048962 39.0119089500029 38.901012778126 37.209413245193 34.1973911799437 30.3053467883934 26.0224706331531 21.7733903849896 17.8572309941325 14.4393308170212 11.5758882614602 9.24983278113912 9.24983278113912
120.438788837166 133.581023343096 152.840187182763 177.350303582637 205.500708080114 234.743290308887 261.642744080399 282.321417199067 293.298442609372 292.464705543479 279.746960580938 257.102045102056 227.840965874397 195.641544209831 163.696206161756 134.253826097235 108.557447070365 87.0295786668016 69.5418814952662 69.5418814952662
73.5980041839167 81.6289902100318 93.3979230807114 108.3756197743 125.577831852215 143.447454338469 159.885232651712 172.521602424271 179.229467638416 178.719985729338 170.948397721852 157.110492174557 139.229566500896 119.553071965631 100.03184341444 82.0401280203016 66.3375273100932 53.1822293854488 42.4958083243914 42.4958083243914
113.120408978066 125.46406467695 143.552958721411 166.573734818739 193.013599420482 220.479276327661 245.744203360712 265.16635118279 275.476365221997 274.693289613346 262.748329643793 241.479416821129 213.996366872432 183.75352083653 153.749319201568 126.095985036201 101.961028741473 81.7412863997469 65.3162170742555 65.3162170742555
146.429695629241 162.408047928959 185.82337389117 215.62281740038 249.848129712168 285.401313669885 318.105717843865 343.246885735192 356.592772930375 355.579113909289 340.11685675829 312.585127876445 277.009455234285 237.861340583658 199.022141249984 163.226042724973 131.984338984781 105.810717941962 84.5491443342568 84.5491443342568
66.6146089920407 73.8835696096862 84.5357995190023 98.0923275785336 113.662296412266 129.83634797734 144.714416848585 156.151776336954 162.223161333956 161.762021952011 154.727846200829 142.202959452565 126.018677210479 108.20919984306 90.540255944361 74.2556963375323 60.0430472573381 48.1359984570189 38.4635655099552 38.4635655099552
34.3977423884629 38.1512108624358 43.6516959035942 50.6518714946487 58.6917261908329 67.0435106947335 74.7260894565792 80.6319913486422 83.7670684770394 83.5289502338291 79.8967174688924 73.429249831832 65.0721825198863 55.8759142564061 46.7522131689123 38.34336569925 31.0043893228135 24.8559542657351 19.8614063457355 19.8614063457355
