2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998 1997 1996 1995 1994 1993 1992 1991 1990 1989 1988 1987 1986 1985 1984 1983 1982 1981 1980 1979 1978
140856.0196105 120564.273367647 142652.421347413 130503.426041651 149202.449446066 143919.593567485 151723.998404431 125222.038497045 106820.457603482 112745.814476944 108096.230065405 97271.0427187339 77637.52962049 66808.3567958877 55079.5147688542 41704.6703563047 42985.0575821477 56120.563556839 68047.6306704422 60824.895849431 53338.0706749898 47421.5238053751 40506.3000710423 35418.52451356 30969.7967110668 27079.8493584226 23678.4970891596 20704.370138121 18103.8070618329 15829.8865382347 13841.5807767681 12103.0152640097 10582.82148862 9253.57096698347 8091.2803578023 7074.97873654923 6186.32922221712 5409.29812947024 4729.86567679041 4135.77303099597
22060.2266989858 18778.0768517615 21840.4613916201 21498.449254306 24744.58447528 22906.443603805 24767.2838347829 22700.120375251 21843.1244449696 22374.4669942266 22218.8685913774 20605.6923219028 18370.3760651597 16836.2037117203 15491.8690184807 13955.0336116918 13891.6275795608 16756.6925474281 17226.7848696467 17088.9401557941 17064.8458635843 16315.386563797 14761.1779042041 12907.1068088698 11285.9154775261 9868.35315241463 8628.84310401718 7545.02115639493 6597.33217584456 5768.67724241484 5044.10513828567 4410.54258661022 3856.55837358573 3372.15709786515 2948.59882598107 2578.24139986867 2254.4025512813 1971.2393352626 1723.64270732307 1507.14534220282
3355.64506292456 2792.41542303738 2971.68264476219 2647.89976675331 2955.57826077746 2749.18786602572 2677.5657372515 2251.64716081311 1961.76824908788 2097.38411422249 2091.87471970139 1718.93109058121 1247.24215965989 1151.46345490857 973.043832340843 664.941538738146 903.116901880809 1284.53652257191 1362.93944460285 977.2818281263 959.906045405928 89.421711073135 715.797488163625 625.890067392068 547.275427670263 478.535144325993 418.428953278477 365.872373257606 319.917138774246 279.734090798484 244.598216446521 213.87556775094 187.01182349295 163.522287720518 142.983144498133 125.02381109978 109.320251675662 95.5891307527995 83.5827010825479 73.0843335977292
5028.17603143437 3995.15752630165 4496.43460251887 3843.00885572329 4349.13253350615 4253.41215258483 4334.07345007006 3483.32178238787 2873.86163550913 3219.1819970607 2858.62945915999 2442.16791034141 2048.20844022042 1991.43396473725 1703.75354323414 1165.95386236159 1257.86619919562 1511.79350265234 1624.82317487949 1486.34884443275 1503.31194991248 1373.66535803171 1359.47173916092 1188.71590430412 1039.40777909639 908.853433637319 794.697307877032 694.879710823672 607.599658043771 531.282376941622 464.55089352339 406.201187992902 355.180470917634 310.568188007063 271.559410777283 237.450313423692 207.625473864543 181.546769831194 158.743669659936 138.804742604531
7170.70937352755 6486.95910480517 7217.01157168778 6461.79946288249 7056.11671872002 6792.2576168754 6474.69642218739 5316.71861705676 4773.77777287647 4867.01644588407 4829.80554690598 4160.43221642514 3541.80102091442 3058.27075976164 2639.43672069577 201.488560943854 2316.37846138601 2633.51680494926 3113.24140597928 2819.35987427733 2605.82005627807 2184.44891046369 218.402605933894 190.970245086025 166.983513554114 146.009624621452 127.670151551749 111.634199728308 97.6124364035749 85.3518703392988 74.6312871476453 65.2572579742258 57.0606495086962 49.8935723539019 43.6267126937393 38.1469991156731 33.3555624909597 29.1659521031944 25.5025758392286 22.2993362992039
28305.8652700415 23911.3427486822 29156.0585658226 27759.426140702 30490.4640773797 29005.1221219929 30740.2400141488 26116.0567676143 23371.8498794615 24670.0769529002 24357.7846750626 21805.7576501945 20081.7827169791 18043.7789408964 16651.48792835 12091.5575879136 1205.89969936071 15135.1772299339 15718.0842248966 1415.87935419959 1382.59519113071 12056.82628732 9859.92681102157 8621.47514943565 7538.57865042664 6591.69887793371 5763.75151234822 5039.79810232321 4406.77653395793 3853.26535427884 3369.27769676359 2946.08109075664 2576.03990364195 2252.47757299555 1969.55614300653 1722.17093167143 1505.85842826832 1316.71575932707 1151.33027004005 1006.71795056812
14875.6594597425 12701.012314496 13740.2365032176 12659.387847658 13380.416112107 12669.5627173295 12201.9812065162 9813.66179816802 7758.80061859969 7841.12456412369 7656.12693373267 6278.81957547147 5370.01871617555 4671.65266144942 437.981889950757 3035.34862064078 3342.44468708989 4437.63065900477 4555.10415430307 4239.22070041039 4066.24791599478 326.520817640163 3104.72273203742 2714.75543309588 2373.76980091463 2075.61351532445 1814.9070155571 1586.94643814914 1387.61874628669 1213.3275192904 1060.92806327888 927.670672227845 811.15101569846 709.266758092619 620.179626727142 542.282244330407 474.16912752828 414.611328052149 362.534259126591 316.998306963613
10596.9101831991 9188.99954023374 11130.2506659282 10075.2947730891 11050.1293363638 10037.864733574 10421.7857011305 8375.76052908249 6577.1644535881 7223.5466620817 7099.8321138049 6192.49187881249 5439.08080230786 498.766550646919 4212.75846349606 274.937920775532 2854.15325410882 3588.32318580248 4185.70060360563 3713.24030562996 3922.03679111777 3140.06464028436 2619.05051594975 2290.08585673649 2002.4406552245 1750.92499955879 1531.00085442295 1338.70018238042 1170.55334954783 1023.52652384138 894.966936288283 782.555017766563 684.262547587974 598.316058809368 523.164840003391 457.452956152358 399.994783845136 349.753619364586 305.82297369655 267.410216970783
2942.70506066041 2544.59250166844 2619.16157231554 2319.34460644931 2617.31275238214 2266.65323834743 2327.97243280517 1928.01105387981 1492.30582290873 1663.32166674815 1614.63607516864 1315.43538261354 1153.04736512997 947.520215867094 831.660833374077 556.186663297595 554.337843364196 96.7549098478919 1100.3559970281 795.916981328359 827.346920196145 748.463936371112 808.550584206587 706.992952625834 618.19142157083 540.543766786338 472.649010672312 413.282144788505 361.372027327492 315.982056765628 276.293272991361 241.589581008711 211.244830610804 184.711518905189 161.510911853371 141.224406589917 123.485978673569 107.975577997989 94.4133542061413 82.5546074189142
1504.17600899971 1472.66788003134 1685.37840049874 1503.31781093442 1698.98696981971 1655.46406793733 1553.70629733909 1381.20848621654 1161.63238122685 1254.44037200139 1256.76976675002 1123.3812674598 959.71063643734 90.4785960259015 72.2112372076639 561.384134420871 545.936569245717 759.382688054788 1031.43147475055 693.546636474966 817.004558152585 539.316184170651 493.709086986864 431.696979712854 377.473875213804 330.061439307966 288.604221037393 252.354217976018 220.657380205248 192.941809451628 168.707440466489 147.517018471258 128.988209876684 112.786703931609 98.6201808360454 86.2330374866872 75.4017756927749 65.930969653032 57.6497399358402 50.4086703435457
