2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998 1997 1996 1995 1994 1993 1992 1991 1990 1989 1988 1987 1986 1985 1984 1983 1982 1981 1980 1979 1978
55418.762518058 47435.124550586 56125.5435382823 51345.6108982371 58702.603806559 56624.1031066119 59694.6886552413 49267.6879034677 42027.7215582796 44359.0095381131 42529.6648283641 38270.5746706444 30545.9136813909 26285.2554667603 21670.62903684 16408.3951027511 16912.1540176797 22080.2220078083 26772.8386367142 23931.1068677533 20985.4706961229 18657.6489473554 15936.9051484609 13935.157362708 12184.8382050631 10654.3670960537 9316.13012065297 8145.98179718099 7122.80942629782 6228.1521597451 5445.86791578659 4761.84213158459 4163.73309760285 3640.74927916695 3183.45460744971 2783.59822679459 2433.96562654974 2128.24847142096 1860.93078172444 1627.18940991762
8679.43356561018 7388.09590439426 8592.96852554809 8458.4063714526 9735.57434347197 9012.37136845749 9744.50523912755 8931.19501520819 8594.01628425628 8803.06909317734 8741.85004865559 8107.15773784777 7227.6890354966 6624.08023303194 6095.16165848013 5490.50509730727 5465.55846139784 6592.79715160151 6777.75151023405 6723.51752376694 6714.03780212136 6419.16856567185 5807.67662625981 5078.20602210631 4440.36024429352 3882.63079781951 3394.95470700823 2968.53295170641 2595.67170871992 2269.64353404803 1984.56598126057 1735.295465959 1517.33446134412 1326.75035044254 1160.10447086273 1014.39007185246 886.978064232117 775.569584383095 678.154516415138 592.975224138088
1320.25381202272 1098.65526236647 1169.18662918709 1041.79664277822 1162.85047803062 1081.64769873597 1053.46850017171 885.893976165286 771.843255348976 825.20031771918 823.03268706039 676.30076554233 490.718232985966 453.03480768701 382.836922506211 261.616346433904 355.324687221574 505.391425137772 536.238476820546 384.50433070528 377.667957089097 35.182313000353 281.625244822731 246.25183292221 215.321482474762 188.276124749801 164.627786988033 143.949788028584 125.869039805416 110.059315810813 96.2353650704738 84.1477654301162 73.5784232926899 64.3366386090708 56.255664123825 49.1896967953563 43.0112471073707 37.6088388067875 32.8849975650331 28.7544922726268
1978.29879160011 1571.86527622025 1769.08904641798 1512.00350342888 1711.13413328322 1673.47365506521 1705.20924792162 1370.48727605634 1130.69967423789 1266.56342477121 1124.7066867457 960.852960538604 805.852511308618 783.515012474068 670.329271428271 458.735951675387 494.898183020344 594.804008600479 639.274699877799 584.792995403288 591.467004201415 540.458508387154 534.874133678517 467.69150927475 408.947328118812 357.581683351172 312.667797235513 273.395299535237 239.055606201944 209.029134567156 182.77412436412 159.816862880127 139.743137874166 122.190764047006 106.843048220626 93.423075320844 81.6887120665209 71.4282382181238 62.4565265613488 54.6117027021772
2821.26274018262 2552.24623759533 2839.47999870662 2542.347361959 2776.17710493144 2672.3636864933 2547.42157552048 2091.82374476272 1878.20767220732 1914.89174074195 1900.25138685964 1636.89138463597 1393.49550134271 1203.25408470166 1038.46691969689 79.274188919508 911.362029173274 1036.13777248834 1224.88188020961 1109.25635807098 1025.2406909055 859.455319954205 85.9288952296451 75.135835086801 65.6984323969677 57.4464104169805 50.2308799372279 43.9216529101423 38.4048934991736 33.5810641666966 29.3631297426215 25.6749870701563 22.4500918952054 19.6302582247065 17.1646084910215 15.0086555804568 13.1235001631762 11.4751288421293 10.0338004576669 8.77350947508793
11136.7340182289 9407.74152884219 11471.2363027861 10921.7415711672 11996.2483140034 11411.8514716724 12094.5208149643 10275.1700063278 9195.48203661596 9706.25990806485 9583.39081358412 8579.31459432192 7901.02936607861 7099.19180464569 6551.40516979899 4757.33419339117 474.452346759962 5954.82390382624 6184.16436377454 557.067293975695 543.971885388776 4743.66941921351 3879.31551591782 3392.05583959506 2965.99819522767 2593.45532918585 2267.70554186605 1982.87140971283 1733.81374030649 1516.03884717413 1325.61747130623 1159.11388649955 1013.5239093916 886.220695716628 774.907344798522 677.575457135003 592.468897337756 518.05210861213 452.982407082337 396.085756075433
5852.71855032257 4997.11966263396 5405.99475847324 4980.74282301422 5264.4260782049 4984.74605047683 4800.77955208185 3861.11288767861 3052.64290511788 3085.03265458801 3012.24670072254 2470.35527419411 2112.79427582998 1838.02729998782 172.320745776504 1194.23553804773 1315.06022146441 1745.953068348 1792.17214905258 1667.89013282728 1599.83526596307 128.467208572557 1221.53027074728 1068.10051183736 933.942228618958 816.634836076703 714.061785684724 624.372377040459 545.948366130991 477.374767753034 417.41432528179 364.98518715298 319.141387280289 279.055777221165 244.005102140252 213.356951299695 186.558347627237 163.12577048646 142.636431632482 124.720646947298
4169.27619062241 3615.34412733609 4379.11507173921 3964.05045288981 4347.59192528057 3949.32387977874 4100.37475417905 3295.38123363771 2587.73686707558 2842.05118184509 2793.37660485548 2436.39027835577 2139.96624448955 196.236022419819 1657.47876079429 108.17229807289 1122.94555686712 1411.79930415416 1646.83304529231 1460.94702405497 1543.09646201191 1235.4352840047 1030.4461177277 901.017397704331 787.845513704399 688.888533168847 602.360999557058 526.701717792196 460.545586001161 402.698965316143 352.118143341153 307.890502705125 269.218054930416 235.403042522331 205.835349501701 179.98149323184 157.374998922113 137.607983137644 120.323794458494 105.210578505524
1157.78561234645 1001.15116091696 1030.48981203611 912.529037081858 1029.76240746291 891.798006745602 915.9235917568 758.56173575411 587.136724669515 654.421647690696 635.266660596378 517.548353833194 453.657985486955 372.794843766004 327.210823845348 218.827542438256 218.100137865054 38.0675059975692 432.926955150699 313.147668763443 325.513546507877 294.47761805126 318.118266680324 278.161165222867 243.22285747865 212.672960126125 185.960268856634 162.602813130185 142.179160099158 124.320810798749 108.705551410483 95.0516396372802 83.1127212962566 72.6733854105968 63.5452776021066 55.5637016593422 48.5846479642421 42.4821951618922 37.1462381923889 32.4805016922349
591.8069618794 579.410320816314 663.099706981508 591.469310177293 668.453898257782 651.330133365192 611.294288686742 543.426296563153 457.0356967811 493.550316566144 494.466799757579 441.986078058598 377.591074870971 35.5981365936097 28.4109789344663 220.872449135689 214.794718497756 298.773520407613 405.809109975662 272.87081126023 321.444420406253 212.189976795785 194.246200626648 169.847994176077 148.514313446392 129.860240066113 113.549203162264 99.2869066946194 86.8160195443994 75.9115325519754 66.376698731765 58.0394834146033 50.7494602683811 44.3750971926116 38.8013831169863 33.9277528848279 29.6662727806223 25.9400539635461 22.6818651809608 19.8329197314034
