2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998 1997 1996 1995 1994 1993 1992 1991 1990 1989 1988 1987 1986 1985 1984 1983 1982 1981 1980 1979
45372.2739305495 38835.9351102006 45950.9274515132 42037.5161218569 48060.810081781 46359.106564094 48873.0466506162 40336.2855811253 34408.8032387545 36317.467958533 34819.7526449317 31332.7638247104 25008.4538166904 21520.1812018756 17742.1088496236 13433.8293302764 13846.2652354565 18077.4495110601 21919.3737523023 19592.8001082873 17181.1581804221 15275.3313223765 13047.8125664667 11408.9479518796 9975.93218829821 8722.90972360242 7627.27258063866 6669.25244703059 5831.564000365 5099.09303335704 4458.62375191336 3898.60032579916 3408.91838962614 2980.74273226485 2606.3478852963 2278.97873427907 1992.72863787552 1742.4328557701 1523.57536252601
6709.8299025474 5711.53249200629 6642.98617283302 6538.95989525673 7526.30311119953 6967.21490450014 7533.20733948509 6904.45971220626 6643.79616609557 6805.4091075285 6758.08235833084 6267.41929676321 5587.5263806204 5120.89311917513 4712.00080601748 4244.55755130966 4225.27199743938 5096.7090346218 5239.69213101605 5197.76533690206 5190.43682643136 4962.48157968466 4489.75408321639 3925.8205458745 3432.7196262316 3001.55442527767 2624.54553499154 2294.89067638905 2006.64196767094 1754.59860804963 1534.2130409756 1341.50890368939 1173.00928268315 1025.67398060253 896.84466271117 784.196893208707 685.698196005475 599.571383254675 524.262489987729
1513.29164730489 1259.29258197675 1340.13652827758 1194.12051179097 1332.87395154133 1239.79829705314 1207.4989426209 1015.42289999127 884.696518738863 945.85505967566 943.370493950103 775.184506373909 562.46745617811 519.274236641497 438.812531221523 299.867971030736 407.277658550986 579.28605493573 614.643336414816 440.723735625798 432.88779756827 40.3264129302009 322.802423882035 282.256970971188 246.804211392615 215.80447969644 188.698455323218 164.99707092019 144.272688218941 126.151382262948 110.306194771265 96.4512349104081 84.3365210361341 73.7434703359175 64.4809549928481 56.3818537132853 49.3000363983272 43.1077275542589 37.6932008706441
2950.01251681306 2343.94433201013 2638.04176216919 2254.67926256613 2551.62017616596 2495.46137821086 2542.78506690358 2043.6521700694 1686.08412739327 1888.68232254774 1677.14746515087 1432.81099520519 1201.67641266305 1168.3670352141 999.585982408722 684.060873463898 737.985505858395 886.963727558445 953.277823516273 872.035439494432 881.987631537107 805.924449496659 797.59710513442 697.415280353968 609.816748506418 533.220990756321 466.24600862395 407.683388925527 356.476500670391 311.701430527062 272.550312881499 238.316753715872 208.383085314473 182.209221836538 159.322914679826 139.31123181486 121.813107353546 106.512826925875 93.134331322935
4068.659009462 3680.69924897727 4094.93086708295 3666.42367337501 4003.63916092065 3853.92556132728 3673.74140540642 3016.70503924227 2708.64051700208 2761.54412070454 2740.43066435163 2360.62837563961 2009.61716377248 1735.26219400483 1497.6158472144 114.324567638203 1314.31265796868 1494.25688824916 1766.45252725345 1599.70420719353 1478.54175880467 1239.45585817199 123.921593253162 108.356477404716 94.7464109146212 82.8458306896897 72.4400174783357 63.3412217437593 55.3852761450806 48.4286335062532 42.3457768295573 37.0269546231805 32.3762006819559 28.3096025926489 24.7537877228557 21.6445993765844 18.9259392307171 16.5487551667182 14.4701562352849
11057.427276958 9340.74726264617 11389.5475089231 10843.9658308474 11910.8208125741 11330.5855681674 12008.3934968926 10201.9986216227 9129.99930949458 9637.13983731727 9515.14571636739 8518.21970943916 7844.76467566904 7048.63714770929 6504.75140273302 4723.45633733418 471.073683908871 5912.41850221734 6140.1257863629 553.10031481632 540.098161054285 4709.88887253901 3851.69019314137 3367.90038303061 2944.8767738941 2574.98685445594 2251.55679157777 1968.75101592357 1721.46693221272 1505.24285434422 1316.17750428816 1150.85962228262 1006.30641831007 879.909754348263 769.389086375337 672.750317073064 588.249816817802 514.362963798642 449.756635639834
7506.65443995216 6409.26950099385 6933.68973873084 6388.26468506313 6752.11477435194 6393.39919562397 6157.44509666888 4952.23543593287 3915.2976894863 3956.84054766039 3863.48581019053 3168.45978972735 2709.85464190662 2357.44050795786 221.017340959915 1531.71785503687 1686.68671923686 2239.34676505848 2298.62702335185 2139.22380912205 2051.93712958772 164.771111634319 1566.72588158807 1369.9379836157 1197.86754084303 1047.409928454 915.850476632773 800.815490441775 700.229421825855 612.277421007532 535.372591597367 468.127358611441 409.328432796078 357.914919547277 312.959177449452 273.650081068778 239.278386015837 209.223932222969 182.944454548202
4696.81030403761 4072.78980176629 4933.19987718075 4465.61757043933 4897.68814029087 4449.02765958458 4619.19084160476 3712.34234102662 2915.16048007464 3201.65291652207 3146.81959670899 2744.66416731441 2410.73391348312 221.0655591006 1867.19779800913 121.859224712175 1265.03067228544 1590.43277917131 1855.20509136715 1645.79910816848 1738.3428277558 1391.75360580242 1160.82737679619 1015.02217751209 887.530774545356 776.052871766638 678.577100704769 593.34472991855 518.817932636497 453.652040125407 396.671280162044 346.847562863152 303.281931111734 265.188340894161 231.879478900736 202.75436150014 177.2874913391 155.019375922474 135.548237102803
1676.83372820437 1449.97831701693 1492.46981044368 1321.62591331877 1491.41630234219 1291.60093242632 1326.54228445906 1098.63336517013 850.356622585732 947.806121973525 920.063741967631 749.571014209889 657.037885962381 539.922902013447 473.903060986762 316.930353864804 315.876845763314 55.1335906446252 627.012905069926 453.535237691296 471.44487541662 426.495196419728 460.734209718142 402.863897036197 352.262358886872 308.016604122246 269.328317435894 235.499455555522 205.919652619328 180.055207494387 157.439454337947 137.664342660033 120.373074968485 105.253669159276 92.0333294998976 80.4735246428245 70.3656838628932 61.5274338668366 53.7993082766622
853.752285147111 835.868648560364 956.600592054555 853.26518220506 964.3246529928 939.621575217332 881.865083516941 783.95739216459 659.328625133987 712.005329010127 713.327465567123 637.617751145406 544.720261482728 51.3545673191432 40.9862332669043 318.634910236256 309.867057279329 431.016517580993 585.428150211317 393.648763312186 463.722000833022 306.109406012075 280.223363948767 245.026034663359 214.249650053542 187.338919356595 163.808298855686 143.233231333621 125.242485891052 109.51145991837 95.7563223703913 83.7288926723932 73.2121628588449 64.0163821518843 55.9756333345504 48.944839147112 42.797144693636 37.4216286301983 32.7213018382676
