2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998 1997 1996 1995 1994 1993 1992 1991 1990 1989 1988 1987 1986 1985
17839061.6108889 15269162.8417787 18066571.3854184 16527931.6001312 18896116.0163686 18227055.5689696 19215463.8677954 15859057.1135474 13528543.0453113 14278974.6322927 13690116.4279232 12319133.6004894 9832598.40826773 8461110.83004966 6975682.4037516 5281791.90357067 5443949.73445904 7107528.62175602 8618061.75811134 7703320.5079509 6755132.87687819 6005817.05478818 5130021.31250493 4485667.29850341 3922247.0799128 3429595.00385086 2998822.26968228 2622156.55056787 2292801.7592768 2004815.42805075 1753001.49011491 1532816.52831898 1340287.79937537
1848643.06896107 1573599.49623832 1830226.77533892 1801566.21913642 2073591.77259276 1919555.89489334 2075493.97487687 1902266.04508189 1830449.93873538 1874976.34974335 1861937.23129305 1726753.3471803 1539434.24292313 1410870.87290536 1298215.86500667 1169429.33159244 1164115.91739101 1404207.85149677 1443601.50438616 1432050.14191226 1430031.04451572 1367226.48865483 1236984.07974941 1081613.25212739 945757.707257298 826966.23684788 723095.515520122 632271.429312889 552855.261504163 483414.125646947 422695.112350383 369602.683342754 323178.904943021
283253.419872373 235710.631919559 250842.760816504 223511.91808065 249483.373350585 232061.749774196 226016.052886291 190063.831748158 165594.857361608 177042.330758825 176577.277152063 145096.725309718 105280.981900025 97196.2038132405 82135.6216250276 56128.3930007266 76233.0181545879 108429.037084259 115047.107642025 82493.3551686906 81026.6476396723 7548.17777128956 60421.1955246828 52832.0185027087 46196.0766388726 40393.6392609186 35320.0144136968 30883.659927882 27004.5317470535 23612.6397124084 20646.7847474837 18053.4546582233 15785.8586255782
12.294945052325 9.76899813255923 10.994725726333 9.39696271994628 10.6345412711184 10.4004848625007 10.5977186534877 8.51745238159621 7.02719448875183 7.87157520338532 6.98994862264268 5.97161278334033 5.00829924624468 4.8694737452924 4.16603477400375 2.85100175126377 3.07574669335418 3.6966522113328 3.97303346780181 3.63443468499138 3.67591303588566 3.3588999254794 3.32419355024133 2.90665971813137 2.54157003475149 2.22233727644577 1.94320160481562 1.69912664336761 1.485708607407 1.29909684763015 1.13592437380304 0.99324710498196 0.868490750182723
20964.6555713427 18965.608038682 21100.0270647419 18892.0500125884 20629.6265785468 19858.1945065738 18929.7562276448 15544.232623321 13956.8627829151 14229.4601737325 14120.6684712747 12163.6540963817 10354.992043022 8941.31804574457 7716.79325842207 589.082343421678 6772.2834779936 7699.48548757652 9102.03306073894 8242.82586519211 7618.50984540628 6386.56744200711 638.5331172661 558.330452965197 488.201608153099 426.881265274866 373.263036416555 326.379501019318 285.384750947428 249.539127975151 218.195878314709 190.789483396241 166.825456354877
5121200.16573634 4326127.15701485 5275020.23114415 5022336.40965466 5516445.73295272 5247712.26038324 5561636.10450912 4725012.04152343 4228520.14359522 4463400.11070559 4406899.05519069 3945177.03757935 3633269.21814051 3264546.15752126 3012647.80019556 2187648.60683388 218175.76256055 2738311.34992442 2843773.00498189 256166.045948928 250144.15402658 2181364.8935236 1783893.84450984 1559828.66246847 1363907.08659388 1192594.15192252 1042798.90117125 911818.615352912 797290.049280139 697146.792111823 609581.983608875 533015.713397886 466066.515035568
60.1969517584212 51.3968626162717 55.6022646372011 51.2284219478767 54.1461886370751 51.2695963334844 49.3774461585135 39.7126949186028 31.3973405888345 31.7304787996603 30.9818536067935 25.4083390459 21.7307177859417 18.9046576828694 1.7723701441122 12.2830678519624 13.5257856721213 17.9576468138929 18.4330238113633 17.1547462945432 16.4547817392128 1.32132346540994 12.5638022992875 10.9857315760853 9.60587371457136 8.39933227762099 7.34433793386944 6.42185567900301 5.61524139184257 4.90994152854542 4.29323053658149 3.75398125070876 3.28246412825854
895363.710769456 776405.252509059 940427.196772861 851290.910196791 933657.512996138 848128.337475583 880566.934784685 707692.327120552 555723.722264086 610338.431907447 599885.430503613 523221.619478654 459563.730005975 42142.2340922485 355948.194826782 23230.3032413268 241155.695813599 303187.845092243 353661.997678921 313742.455258204 331384.276582536 265313.179009336 221291.182817735 193496.003572734 169192.025284881 147940.73723202 129358.70763354 113110.66548476 98903.451344377 86480.727930537 75618.3550901003 66120.3456928048 57815.3294835206
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
230600.805080243 225770.386390405 258380.411397677 230469.237256006 260466.701182004 253794.33295285 238194.148079054 211749.015407451 178086.447806284 192314.568227325 192671.68089311 172222.281926014 147130.418303704 13871.0077552546 11070.4926393563 86064.152454351 83695.931618088 116418.729046135 158125.72932921 106325.597386823 125252.568673465 82680.9798311181 75689.0897431036 66182.1957516095 57869.4108935753 50600.7496296768 44245.0652866331 38687.6838099311 33828.3347279722 29579.3419965341 25864.0420813991 22615.4007369997 19774.8035239594
168789.589188456 137346.528027391 136016.221091936 126354.637081439 146542.198088143 132681.258083236 130321.036100977 107760.992218599 91423.351743996 103947.85436674 95788.2297994996 80468.2434782868 68170.5673837079 58190.2001444384 5131.18389389959 32522.0197815261 33821.6744834457 41521.5155476487 49981.5320035405 46965.3522236138 43985.9551239302 35715.9825159606 28003.8805583433 24486.4657668292 21410.8542743181 18721.5535766331 16370.0412805647 14313.8896262255 12515.9999733793 10943.9334397703 9569.32561432289 8367.37478502591 7316.39444772319
