2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998 1997 1996 1995 1994 1993 1992 1991 1990 1989 1988 1987 1986 1985
3769068.46631155 3226095.71227646 3817137.13358009 3492050.60031769 3992404.78936329 3851044.51552418 4059877.1678354 3350729.6166083 2858334.48526783 3016886.99729512 2892471.99511455 2602808.32022811 2077448.77005671 1787678.45053248 1473834.50724427 1115946.32854547 1150207.321657 1501691.20921224 1820839.32001199 1627571.17194362 1427236.41340221 1268919.64215321 1083879.96982231 947739.714898137 828699.295312613 724610.89395777 633596.46932511 554013.870463065 484427.208049944 423580.946994917 370377.253126155 323856.185238006 283178.375107148
368808.985890386 313937.094807292 365134.888554516 359417.034824081 413686.823400892 382956.274708773 414066.31758619 379506.905773134 365179.410218712 374062.542265624 371461.205028975 344491.676921872 307121.040026667 281472.32129074 258997.36118828 233304.120788156 232244.081164419 280143.031602574 288002.165372956 285697.639230953 285294.824173934 272765.155821369 246781.464564341 215784.589973276 188681.063839764 164981.863886174 144259.391257576 126139.755460421 110296.028348027 96442.345436177 84328.7481203058 73736.6737336773 64475.0120747678
83785.4615802252 69722.4559676817 74198.491614112 66114.1151746965 73796.3891210521 68643.1282231524 66854.8302934911 56220.2775165113 48982.4326414325 52368.5588987793 52230.9975195746 42919.1503118709 31141.7799230365 28750.3282537853 24295.4558964634 16602.6003055536 22549.4845450189 32072.9646438068 34030.5688863355 24401.2723420055 23967.4249152829 2232.72700093805 17872.3976520586 15627.5432030404 13664.652684961 11948.310145403 10447.5480366845 9135.28847598805 7987.85468575874 6984.54379941151 6107.25332458449 5340.15452430707 4669.4068229792
4.73136948756112 3.75932869091529 4.2310160480008 3.61616115400985 4.09240902421635 4.00233889007675 4.07823885844755 3.27770593024476 2.70422140527995 3.02915796515067 2.68988836404255 2.29800998657441 1.92730542002516 1.8738822663221 1.60318323749748 1.09712915653591 1.18361603036616 1.42255434281245 1.52891202381274 1.39861164892724 1.41457344485071 1.29257971886416 1.2792239304384 1.11854758541513 0.978052920264894 0.855205024186493 0.747787382706996 0.653861885654496 0.571733858311399 0.499921484813941 0.437129072111825 0.382223672096151 0.334214640094431
7802.3206015177 7058.34416487103 7852.70119509396 7030.96840854421 7677.63438362577 7390.53401475285 7045.00135926636 5785.02642311492 5194.26220254948 5295.71353481948 5255.22502126048 4526.89187394343 3853.77033602502 3327.64970813048 2871.92388221922 219.236098987096 2520.40996904788 2865.48252778937 3387.46228497901 3067.69504721189 2835.34619099262 2376.85978461142 237.639968786643 207.79130765114 181.691774139795 158.870460767732 138.915608172398 121.467175840323 106.210345984401 92.8698433637362 81.2049685599518 71.0052550965934 62.0866720440892
1312188.70428655 1108469.69558472 1351601.52663065 1286857.16093824 1413461.20915574 1344604.49280854 1425040.19321803 1210674.69105916 1083460.16338066 1143642.70452942 1129165.62016881 1010860.06748146 930940.926615882 836464.198603635 771921.089876388 560534.190801908 55902.4763563198 701628.740511031 728650.842366696 65636.6049046242 64093.6348383871 558924.135080618 457081.402143465 399669.898710008 349469.541280377 305574.577112026 267193.020127264 233632.361302609 204287.073898241 178627.688087487 156191.23786253 136572.907852231 119418.729337625
19.9246904948988 17.0119341615132 18.403887262559 16.9561817008572 17.9219382137768 16.9698100801287 16.3435241054258 13.1445718073392 10.392258666286 10.5025246440279 10.2547359300011 8.40994895407121 7.19268689641432 6.25728450096297 0.586639780458562 4.0655933253955 4.47692259068007 5.94383177771901 6.10117761112605 5.67807838192521 5.44639593431011 0.437347080257386 4.15851409315557 3.6361858054202 3.17946432676541 2.78010914351655 2.43091478800373 2.12558083207499 1.85859821001578 1.62514981982675 1.42102360943331 1.24253657966263 1.08646833279245
260297.587269611 225714.32317475 273398.315543 247484.868242367 271430.252361005 246565.454110441 255995.910708591 205738.297256195 161558.417382716 177435.850183047 174396.983393588 152109.498653402 133603.058375435 12251.4702398832 103480.245169598 6753.44757948958 70108.0968790425 88141.9065992322 102815.608447724 91210.312798552 96339.0928356821 77131.0915735144 64333.1422512011 56252.6069244091 49187.0235940947 43008.9096723483 37606.7949642372 32883.2104384049 28752.9296172329 25141.4308563982 21983.5527691137 19222.3185352006 16807.9078822896
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
85850.1242765494 84051.8129276968 96192.1638625581 85801.1430335846 96968.8664295723 94484.8176792116 88677.0417276641 78831.8118917276 66299.6110131474 71596.5825737757 71729.5316618231 64116.4470409994 54775.0242755586 5164.02247258077 4121.42172947164 32040.7302194408 31159.0678460734 43341.402703476 58868.4567233361 39583.841636029 46630.1433025451 30781.2125432016 28178.2093456406 24638.898065397 21544.1403827509 18838.0983435105 16471.9474945447 14402.9959561446 12593.914142904 11012.0612351608 9628.89624868987 8419.46307672164 7361.94021302536
63719.8630149642 51849.7733987309 51347.568398395 47700.2177968775 55321.2365346931 50088.5844344194 49197.5755628558 40680.919335962 34513.2864977358 39241.4192889163 36161.0743329392 30377.6167484263 25735.1133812662 21967.4187243686 1937.07642986689 12277.4079575195 12768.0414140688 15674.8132132478 18868.559298333 17729.9193897374 16605.1653336857 13483.162820077 10571.7624033834 9243.90095316186 8082.82494170687 7067.58535918021 6179.8644866791 5403.64539412474 4724.92295071935 4131.45113380456 3612.52207687668 3158.77287017641 2762.01662800333
